Species,Tree ID,Collector,Date of collection,Date of Initiation,Tube #,Shoot Stage,Base Medium,Antimicrobial,Other addenda,STS date (if applicable),Operator,Rinsed?,Sterilization method,Sterilization,Storage method,Storage,Days stored,Discard Date,Week 1 Status,Week 1 Contam,Week 2 Status,Week 2 Contam.,7/5/23 Status
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,1,5,A,BEN + AB,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,2,5,B,PPM,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,3,5,C,BEN + AB,STS,3/14/23,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,4,4.5/5,A,BEN + AB,none,NA,MAK,no,Standard,1,none,1,1,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,5,4.5,B,PPM,none,NA,MAK,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,6,4.5,C,BEN + AB,STS,3/14/23,MAK,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,7,4.5,A,BEN + AB,none,NA,MAK,no,Standard,1,none,1,1,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,8,3,B,PPM,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,9,4,C,BEN + AB,STS,3/14/23,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,10,4,A,BEN + AB,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,11,4,B,PPM,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,12,3,C,BEN + AB,STS,3/14/23,MAK,no,Standard,1,none,1,1,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,13,4,A,BEN + AB,none,NA,MW,no,Standard,1,none,1,1,6/9/23,Green,None,Green,None,brown discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,14,3,B,PPM,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,15,3,C,BEN + AB,STS,3/14/23,MW,no,Standard,1,none,1,1,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,16,3,A,BEN + AB,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,17,3,B,PPM,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0126/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,18,2,C,BEN + AB,STS,3/14/23,MAK,no,Standard,1,none,1,1,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,19,5,A,BEN + AB,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,20,4.5/5,B,PPM,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green,Fungal,Brown,Fungal/Bacterial,bacterial/fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,21,4.5/5,C,BEN + AB,STS,3/14/23,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,22,5,A,BEN + AB,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,23,4.5/5,B,PPM,none,NA,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,24,4.5,C,BEN + AB,STS,3/14/23,MW,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,25,4,A,BEN + AB,none,NA,MAK,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,26,4,B,PPM,none,NA,MAK,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,27,5,C,BEN + AB,STS,3/14/23,MAK,no,Standard,1,none,1,1,NA,Green/Brown,None,Green/Brown,None,alive
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,28,4.5,A,BEN + AB,none,NA,MAK,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_oglethorpensis,2022-0132/1,Wally Wilkins - John Fairey Garden,3/15/23,3/16/23,29,4.5,B,PPM,none,NA,MAK,no,Standard,1,none,1,1,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_hinckleyi,SABOT Hinckley 04,Michael Eason - San Antonio Botanical Garden,3/14/23,3/16/23,30,4.5,C,BEN + AB,STS,3/14/23,MW,no,Standard,1,"trim, ethanol sterilization, placed in beaker of RO in walk-in",2,2,3/31/23,Green/Brown,Fungal,Brown,Fungal,fungal discard
Q_hinckleyi,SABOT Hinckley 04,Michael Eason - San Antonio Botanical Garden,3/14/23,3/16/23,31,4/4.5,A,BEN + AB,none,NA,MW,no,Standard,1,"trim, ethanol sterilization, placed in beaker of RO in walk-in",2,2,3/31/23,Brown,Fungal,Brown,Fungal,fungal discard
